"edition_id","country_noc","participants"
22,"ISR",18
22,"ISV",27
22,"ITA",187
22,"IVB",3
22,"JAM",30
22,"JOR",9
22,"JPN",222
22,"KEN",60
22,"KOR",289
22,"KSA",14
22,"KUW",27
22,"LAO",3
22,"LBA",6
22,"LBN",21
22,"LBR",8
22,"LES",6
22,"LIE",12
22,"LUX",8
22,"MAR",28
22,"MAS",15
22,"MAW",16
22,"MDV",5
22,"MEX",92
22,"MGL",29
22,"MLI",6
22,"MLT",6
22,"MON",9
22,"MOZ",8
22,"MRI",9
22,"MTN",6
22,"MYA",2
22,"NED",109
22,"NEP",18
22,"NGR",50
22,"NIG",8
22,"NOR",45
22,"NZL",70
22,"OMA",9
22,"PAK",14
22,"PAN",6
22,"PAR",11
22,"PER",10
22,"PHI",34
22,"PNG",11
22,"POL",133
22,"POR",62
22,"PUR",38
22,"QAT",11
22,"ROU",53
22,"RWA",6
22,"SAM",11
22,"SEN",23
22,"SGP",10
22,"SLE",14
22,"SMR",11
22,"SOL",5
22,"SOM",5
22,"SRI",6
22,"SUD",8
22,"SUI",94
22,"SUR",6
22,"SWE",138
22,"SWZ",12
22,"SYR",13
22,"TAN",10
22,"TCH",112
22,"TGA",5
22,"THA",12
22,"TOG",6
22,"TPE",78
22,"TTO",6
22,"TUN",12
22,"TUR",51
22,"UAE",13
22,"UGA",25
22,"URS",317
22,"URU",12
22,"USA",387
22,"VAN",6
22,"VEN",18
22,"VIE",9
22,"VIN",8
22,"YAR",8
22,"YMD",5
22,"YUG",75
22,"ZAM",13
22,"ZIM",31
23,"AHO",4
23,"ALB",7
23,"ALG",27
23,"AND",7
23,"ANG",18
23,"ANT",12
23,"ARG",65
23,"ARU",5
23,"ASA",3
23,"AUS",186
23,"AUT",80
23,"BAH",13
23,"BAN",6
23,"BAR",14
23,"BEL",65
23,"BEN",6
23,"BER",16
23,"BHU",8
23,"BIH",10
23,"BIZ",11
23,"BOL",12
23,"BOT",6
23,"BRA",120
23,"BRN",11
23,"BUL",129
23,"BUR",4
23,"CAF",15
23,"CAN",253
23,"CAY",8
23,"CGO",6
23,"CHA",6
23,"CHI",15
23,"CHN",193
23,"CIV",11
23,"CMR",9
23,"COD",16
23,"COK",2
23,"COL",31
23,"CRC",16
23,"CRO",24
23,"CUB",108
23,"CYP",16
23,"DEN",77
23,"DJI",8
23,"DOM",13
23,"ECU",13
23,"EGY",34
23,"ESA",4
23,"ESP",261
23,"EST",33
23,"ETH",19
23,"EUN",340
23,"FIJ",16
23,"FIN",86
23,"FRA",276
23,"GAB",5
23,"GAM",4
23,"GBR",294
23,"GEQ",7
23,"GER",338
23,"GHA",18
23,"GRE",55
